10-0,10-1,11-0,11-1,12a-0,12a-1,12b-0,12b-1,12c-0,12c-1,12d-0,12d-1,12e-0,12e-1,13-0,13-1,14-0,14-1,15-0,15-1,16-0,16-1,17a-0,17a-1,18b-0,18b-1,18c-0,18c-1,19a-0,19a-1,19b-0,19b-1,19c-0,19c-1,19d-0,19d-1,19e-0,19e-1,19f-0,19f-1,19g-0,19g-1,19h-0,19h-1,19i-0,19i-1,19j-0,19j-1,19k-0,19k-1,19l-0,19l-1,19m-0,19m-1,19n-0,19n-1,19o-0,19o-1,19p-0,19p-1,19q-0,19q-1,19r-0,19r-1,19s-0,19s-1,1a-0,1a-1,1b-0,1b-1,1c-0,1c-1,1d-0,1d-1,1e-0,1e-1,21a-0,21a-1,22a-0,22a-1,22b-0,22b-1,23a-0,23a-1,23b-0,23b-1,24b-0,24b-1,25a-0,25a-1,25b-0,25b-1,2a-0,2a-1,2b-0,2b-1,2c-0,2c-1,2d-0,2d-1,3-0,3-1,4-0,4-1,5a-0,5a-1,5b-0,5b-1,5c-0,5c-1,6a-0,6a-1,6b-0,6b-1,6c-0,6c-1,6d-0,6d-1,6e-0,6e-1,6f-0,6f-1,6g-0,6g-1,6h-0,6h-1,6i-0,6i-1,7-0,7-1,8a-0,8a-1,8b-0,8b-1,8c-0,8c-1,8d-0,8d-1,8e-0,8e-1,9-0,9-1
,,0.8225806451612904,0.0,0.6031746031746031,0.8181818181818182,0.5873015873015873,1.0,0.4222222222222222,1.0,0.38461538461538464,0.9393939393939394,0.6071428571428571,1.0,0.5,0.0,0.36363636363636365,0.4782608695652174,0.25925925925925924,0.6,0.4444444444444444,0.8571428571428571,0.3333333333333333,0.5961538461538461,0.3333333333333333,0.5238095238095238,0.25,0.5384615384615384,0.375,0.5454545454545454,0.2,0.46875,0.3333333333333333,0.5121951219512195,0.25,0.525,0.0,0.4375,0.0,0.5135135135135135,0.3333333333333333,0.5,0.3333333333333333,0.48148148148148145,0.0,0.26666666666666666,0.0,0.5,0.0,0.4838709677419355,0.0,0.4666666666666667,0.5,0.42857142857142855,0.3333333333333333,0.40625,0.4166666666666667,0.25,0.38461538461538464,0.3333333333333333,0.38461538461538464,0.0,0.5,0.41935483870967744,0.6666666666666666,0.5416666666666666,0.5714285714285714,0.4,0.5802469135802469,0.3333333333333333,0.66,0.4186046511627907,0.5421686746987951,0.6,0.4411764705882353,0.84,0.0,0.5555555555555556,0.3333333333333333,0.4482758620689655,0.5,0.3333333333333333,0.0,0.4782608695652174,0.3333333333333333,0.38461538461538464,0.0,0.509090909090909,0.6666666666666666,0.2,0.5,0.25,0.6231884057971014,0.30434782608695654,0.64,0.4418604651162791,0.4262295081967213,0.8,0.546875,0.2857142857142857,0.5,0.42105263157894735,0.4444444444444444,0.4166666666666667,0.5,0.7,0.4166666666666667,0.5151515151515151,0.2857142857142857,0.4772727272727273,0.5,0.5421686746987951,0.4,0.4375,0.42857142857142855,0.4666666666666667,0.25,0.43478260869565216,0.25,0.4642857142857143,0.4090909090909091,0.6521739130434783,0.35714285714285715,0.6666666666666666,0.4375,0.6875,0.25,0.6,0.0,0.574468085106383,0.7777777777777778,0.48214285714285715,0.5,0.2,0.7,0.4375,0.25,0.5306122448979592,0.42857142857142855,0.5454545454545454,0.2857142857142857,0.6875
,,0.1774193548387097,1.0,0.38095238095238093,0.18181818181818182,0.4126984126984127,0.0,0.5777777777777777,0.0,0.6153846153846154,0.06060606060606061,0.39285714285714285,0.0,0.46875,1.0,0.5909090909090909,0.5217391304347826,0.7037037037037037,0.4,0.5555555555555556,0.14285714285714285,0.6666666666666666,0.40384615384615385,0.6666666666666666,0.47619047619047616,0.75,0.46153846153846156,0.625,0.45454545454545453,0.8,0.5,0.6666666666666666,0.4878048780487805,0.75,0.45,1.0,0.5625,1.0,0.4864864864864865,0.6666666666666666,0.5,0.6666666666666666,0.5185185185185185,1.0,0.7333333333333333,1.0,0.5,1.0,0.5161290322580645,1.0,0.5333333333333333,0.5,0.5714285714285714,0.6666666666666666,0.59375,0.5833333333333334,0.75,0.6153846153846154,0.6666666666666666,0.6153846153846154,1.0,0.5,0.5806451612903226,0.3333333333333333,0.4583333333333333,0.4025974025974026,0.6,0.4074074074074074,0.5833333333333334,0.32,0.5581395348837209,0.43373493975903615,0.4,0.5294117647058824,0.16,1.0,0.42857142857142855,0.6666666666666666,0.5517241379310345,0.5,0.6666666666666666,1.0,0.5217391304347826,0.6666666666666666,0.6153846153846154,1.0,0.4727272727272727,0.3333333333333333,0.8,0.5,0.75,0.36231884057971014,0.6521739130434783,0.36,0.5116279069767442,0.5573770491803278,0.2,0.4375,0.7142857142857143,0.5,0.5263157894736842,0.5555555555555556,0.5833333333333334,0.5,0.3,0.5833333333333334,0.45454545454545453,0.7142857142857143,0.5,0.5,0.43373493975903615,0.6,0.5,0.5714285714285714,0.4666666666666667,0.75,0.5217391304347826,0.75,0.5,0.5909090909090909,0.30434782608695654,0.6428571428571429,0.3333333333333333,0.5625,0.25,0.75,0.4,1.0,0.40425531914893614,0.2222222222222222,0.48214285714285715,0.4375,0.8,0.3,0.5416666666666666,0.75,0.4489795918367347,0.42857142857142855,0.45454545454545453,0.7142857142857143,0.3125
1.0,0.275,,,0.6825396825396826,1.0,0.6984126984126984,1.0,0.5777777777777777,1.0,0.5384615384615384,0.9696969696969697,0.7142857142857143,1.0,0.65625,0.16666666666666666,0.4090909090909091,0.8260869565217391,0.4074074074074074,0.85,0.5555555555555556,0.8571428571428571,0.6666666666666666,0.7307692307692307,0.6666666666666666,0.6428571428571429,0.5,0.5384615384615384,0.5,0.7272727272727273,0.4,0.59375,0.3333333333333333,0.5853658536585366,0.25,0.625,0.0,0.53125,0.0,0.6216216216216216,0.3333333333333333,0.5789473684210527,0.3333333333333333,0.5925925925925926,0.0,0.4,0.0,0.5555555555555556,0.0,0.6129032258064516,0.0,0.6,0.5,0.5,0.3333333333333333,0.59375,0.5,0.25,0.46153846153846156,0.6666666666666666,0.46153846153846156,0.0,0.625,0.5483870967741935,0.6666666666666666,0.6666666666666666,0.6883116883116883,0.5333333333333333,0.691358024691358,0.5,0.76,0.5581395348837209,0.6506024096385542,0.8,0.5735294117647058,0.92,0.0,0.6666666666666666,0.6666666666666666,0.6551724137931034,0.6666666666666666,0.4444444444444444,0.5,0.5652173913043478,0.6666666666666666,0.46153846153846156,1.0,0.6181818181818182,0.6666666666666666,0.3,0.5,0.375,0.7391304347826086,0.43478260869565216,0.76,0.5581395348837209,0.5573770491803278,0.9,0.703125,0.42857142857142855,0.5,0.5789473684210527,0.5,0.6666666666666666,0.5,0.7,0.5,0.696969696969697,0.5714285714285714,0.5909090909090909,0.5,0.6506024096385542,0.6,0.5,0.5714285714285714,0.6333333333333333,0.5,0.4782608695652174,0.625,0.5,0.5,0.7391304347826086,0.42857142857142855,0.7777777777777778,0.5,0.6875,0.25,0.6,0.4,0.6595744680851063,0.8888888888888888,0.6428571428571429,0.5625,0.4,0.8,0.5833333333333334,0.75,0.5714285714285714,0.42857142857142855,0.6363636363636364,0.5714285714285714,0.6875
0.0,0.675,,,0.30158730158730157,0.0,0.30158730158730157,0.0,0.4222222222222222,0.0,0.46153846153846156,0.030303030303030304,0.2857142857142857,0.0,0.28125,0.8333333333333334,0.5,0.17391304347826086,0.5185185185185185,0.15,0.4444444444444444,0.14285714285714285,0.3333333333333333,0.2692307692307692,0.3333333333333333,0.35714285714285715,0.5,0.46153846153846156,0.5,0.2727272727272727,0.6,0.375,0.6666666666666666,0.4146341463414634,0.75,0.35,1.0,0.46875,1.0,0.35135135135135137,0.6666666666666666,0.39473684210526316,0.6666666666666666,0.4074074074074074,1.0,0.6,1.0,0.4444444444444444,1.0,0.3870967741935484,1.0,0.4,0.5,0.5,0.6666666666666666,0.40625,0.5,0.75,0.5384615384615384,0.3333333333333333,0.5384615384615384,1.0,0.375,0.45161290322580644,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.4,0.2716049382716049,0.4166666666666667,0.2,0.3953488372093023,0.30120481927710846,0.2,0.36764705882352944,0.08,1.0,0.31746031746031744,0.3333333333333333,0.3448275862068966,0.3333333333333333,0.5555555555555556,0.5,0.43478260869565216,0.3333333333333333,0.5384615384615384,0.0,0.34545454545454546,0.3333333333333333,0.7,0.5,0.625,0.2318840579710145,0.4782608695652174,0.22,0.37209302325581395,0.39344262295081966,0.1,0.265625,0.5714285714285714,0.5,0.3157894736842105,0.5,0.3333333333333333,0.5,0.3,0.5,0.2727272727272727,0.42857142857142855,0.36363636363636365,0.5,0.30120481927710846,0.4,0.4375,0.42857142857142855,0.3,0.5,0.4782608695652174,0.375,0.4642857142857143,0.5,0.21739130434782608,0.5714285714285714,0.2222222222222222,0.5,0.1875,0.75,0.4,0.6,0.2978723404255319,0.1111111111111111,0.32142857142857145,0.375,0.6,0.2,0.3958333333333333,0.25,0.3877551020408163,0.42857142857142855,0.34545454545454546,0.42857142857142855,0.3125
0.7450980392156863,0.6,0.6935483870967742,0.7037037037037037,,,0.8095238095238095,0.8181818181818182,0.8,0.8,0.8461538461538461,0.7575757575757576,0.8928571428571429,0.6666666666666666,0.78125,0.3333333333333333,0.5909090909090909,0.6521739130434783,0.6666666666666666,0.7,0.6666666666666666,0.7142857142857143,1.0,0.6153846153846154,1.0,0.5952380952380952,1.0,0.7692307692307693,0.875,0.5681818181818182,0.8,0.71875,0.6666666666666666,0.7073170731707317,0.5,0.775,1.0,0.71875,1.0,0.7297297297297297,0.6666666666666666,0.7631578947368421,1.0,0.7407407407407407,1.0,0.7333333333333333,1.0,0.7222222222222222,1.0,0.6451612903225806,1.0,0.7333333333333333,1.0,0.8214285714285714,1.0,0.65625,0.75,0.75,0.7692307692307693,0.6666666666666666,0.7692307692307693,1.0,1.0,0.6774193548387096,1.0,0.5416666666666666,0.6623376623376623,0.7333333333333333,0.691358024691358,0.5833333333333334,0.72,0.627906976744186,0.7349397590361446,0.2,0.5882352941176471,0.92,1.0,0.6507936507936508,1.0,0.5862068965517241,1.0,0.6666666666666666,1.0,0.6956521739130435,1.0,0.7692307692307693,1.0,0.6545454545454545,1.0,0.8,1.0,0.875,0.6811594202898551,0.6521739130434783,0.72,0.627906976744186,0.639344262295082,0.7666666666666667,0.75,0.7142857142857143,1.0,0.5789473684210527,0.7222222222222222,0.5833333333333334,0.75,0.9,0.9166666666666666,0.5454545454545454,1.0,0.6136363636363636,1.0,0.7108433734939759,1.0,0.6875,1.0,0.6,1.0,0.7391304347826086,0.875,0.5357142857142857,0.6818181818181818,0.6956521739130435,0.8571428571428571,0.6666666666666666,0.8125,0.625,0.75,0.6,0.6,0.7446808510638298,0.4444444444444444,0.6964285714285714,0.625,0.8,0.6,0.7083333333333334,0.75,0.7142857142857143,0.7142857142857143,0.6909090909090909,0.9285714285714286,0.75
0.17647058823529413,0.05,0.1774193548387097,0.0,,,0.15873015873015872,0.0,0.17777777777777778,0.1,0.15384615384615385,0.15151515151515152,0.10714285714285714,0.3333333333333333,0.03125,0.0,0.045454545454545456,0.17391304347826086,0.037037037037037035,0.2,0.1111111111111111,0.2857142857142857,0.0,0.15384615384615385,0.0,0.16666666666666666,0.0,0.07692307692307693,0.125,0.20454545454545456,0.2,0.15625,0.3333333333333333,0.0975609756097561,0.25,0.125,0.0,0.0625,0.0,0.08108108108108109,0.0,0.07894736842105263,0.0,0.037037037037037035,0.0,0.13333333333333333,0.0,0.05555555555555555,0.0,0.0967741935483871,0.0,0.13333333333333333,0.0,0.03571428571428571,0.0,0.09375,0.08333333333333333,0.25,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0967741935483871,0.0,0.20833333333333334,0.12987012987012986,0.06666666666666667,0.09876543209876543,0.25,0.1,0.13953488372093023,0.08433734939759036,0.4,0.14705882352941177,0.04,0.0,0.15873015873015872,0.0,0.1724137931034483,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.16363636363636364,0.0,0.0,0.0,0.0,0.11594202898550725,0.13043478260869565,0.14,0.09302325581395349,0.09836065573770492,0.16666666666666666,0.09375,0.0,0.0,0.2631578947368421,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.1,0.08333333333333333,0.21212121212121213,0.0,0.11363636363636363,0.0,0.10843373493975904,0.0,0.125,0.0,0.1,0.0,0.08695652173913043,0.125,0.17857142857142858,0.09090909090909091,0.043478260869565216,0.0,0.3333333333333333,0.0625,0.1875,0.0,0.2,0.0,0.0425531914893617,0.3333333333333333,0.125,0.125,0.2,0.2,0.10416666666666667,0.0,0.061224489795918366,0.0,0.10909090909090909,0.0,0.125
0.7254901960784313,0.65,0.7096774193548387,0.7037037037037037,0.8095238095238095,0.9090909090909091,,,0.9333333333333333,0.6666666666666666,0.8974358974358975,0.7878787878787878,0.9285714285714286,0.6666666666666666,0.71875,0.3333333333333333,0.5909090909090909,0.6521739130434783,0.7037037037037037,0.7,0.6666666666666666,0.7142857142857143,1.0,0.7307692307692307,1.0,0.6666666666666666,1.0,0.7692307692307693,1.0,0.7045454545454546,1.0,0.75,0.6666666666666666,0.7317073170731707,0.5,0.75,1.0,0.6875,1.0,0.7837837837837838,0.6666666666666666,0.7368421052631579,1.0,0.7037037037037037,1.0,0.8666666666666667,1.0,0.7222222222222222,1.0,0.7096774193548387,1.0,0.8666666666666667,1.0,0.7857142857142857,1.0,0.75,0.8333333333333334,1.0,0.8461538461538461,0.6666666666666666,0.8461538461538461,1.0,1.0,0.7096774193548387,0.6666666666666666,0.75,0.7012987012987013,0.6,0.6666666666666666,0.75,0.64,0.7209302325581395,0.6746987951807228,0.7,0.6470588235294118,0.76,1.0,0.7142857142857143,1.0,0.6896551724137931,1.0,0.5555555555555556,1.0,0.782608695652174,1.0,0.6923076923076923,1.0,0.7090909090909091,1.0,0.8,1.0,0.875,0.6811594202898551,0.6521739130434783,0.7,0.6511627906976745,0.6557377049180327,0.7666666666666667,0.65625,0.7142857142857143,0.875,0.6842105263157895,0.7222222222222222,0.75,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7045454545454546,1.0,0.6867469879518072,1.0,0.75,1.0,0.6666666666666666,1.0,0.8260869565217391,1.0,0.6785714285714286,0.7727272727272727,0.43478260869565216,0.7857142857142857,0.7777777777777778,0.8125,0.625,0.75,0.7,0.6,0.6808510638297872,0.6666666666666666,0.6964285714285714,0.6875,1.0,0.7,0.7083333333333334,0.75,0.7346938775510204,0.7142857142857143,0.6909090909090909,0.8571428571428571,0.75
0.21568627450980393,0.0,0.1774193548387097,0.0,0.14285714285714285,0.0,,,0.044444444444444446,0.26666666666666666,0.07692307692307693,0.21212121212121213,0.07142857142857142,0.0,0.09375,0.0,0.09090909090909091,0.08695652173913043,0.0,0.15,0.0,0.2857142857142857,0.0,0.057692307692307696,0.0,0.09523809523809523,0.0,0.07692307692307693,0.0,0.045454545454545456,0.0,0.0625,0.0,0.07317073170731707,0.0,0.15,0.0,0.15625,0.0,0.05405405405405406,0.0,0.13157894736842105,0.0,0.07407407407407407,0.0,0.0,0.0,0.05555555555555555,0.0,0.06451612903225806,0.0,0.06666666666666667,0.0,0.07142857142857142,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.3333333333333333,0.0,0.1038961038961039,0.13333333333333333,0.12345679012345678,0.08333333333333333,0.2,0.023255813953488372,0.12048192771084337,0.1,0.08823529411764706,0.2,0.0,0.07936507936507936,0.0,0.0,0.0,0.1111111111111111,0.0,0.08695652173913043,0.0,0.07692307692307693,0.0,0.10909090909090909,0.0,0.0,0.0,0.0,0.11594202898550725,0.13043478260869565,0.16,0.06976744186046512,0.09836065573770492,0.13333333333333333,0.140625,0.14285714285714285,0.0,0.10526315789473684,0.1111111111111111,0.0,0.08333333333333333,0.2,0.08333333333333333,0.12121212121212122,0.14285714285714285,0.09090909090909091,0.0,0.12048192771084337,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.07142857142857142,0.045454545454545456,0.34782608695652173,0.07142857142857142,0.2222222222222222,0.0625,0.25,0.0,0.1,0.0,0.1702127659574468,0.1111111111111111,0.125,0.0625,0.0,0.1,0.08333333333333333,0.0,0.061224489795918366,0.0,0.12727272727272726,0.07142857142857142,0.125
0.37254901960784315,0.65,0.41935483870967744,0.7037037037037037,0.5714285714285714,0.7272727272727273,0.6666666666666666,0.18181818181818182,,,0.8717948717948718,0.30303030303030304,0.6785714285714286,0.6666666666666666,0.5625,0.3333333333333333,0.5,0.5652173913043478,0.5925925925925926,0.6,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.4230769230769231,0.6666666666666666,0.5238095238095238,0.75,0.6153846153846154,0.75,0.5,1.0,0.59375,1.0,0.5121951219512195,0.75,0.525,1.0,0.53125,1.0,0.4864864864864865,0.3333333333333333,0.5263157894736842,0.6666666666666666,0.48148148148148145,1.0,0.8,1.0,0.4444444444444444,1.0,0.4838709677419355,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0,0.53125,0.5833333333333334,1.0,0.6153846153846154,0.6666666666666666,0.6153846153846154,1.0,0.875,0.45161290322580644,0.3333333333333333,0.4166666666666667,0.4805194805194805,0.5333333333333333,0.4567901234567901,0.6666666666666666,0.5,0.46511627906976744,0.4819277108433735,0.5,0.47058823529411764,0.52,1.0,0.49206349206349204,0.6666666666666666,0.5172413793103449,0.6666666666666666,0.4444444444444444,1.0,0.5652173913043478,1.0,0.5384615384615384,1.0,0.4727272727272727,0.6666666666666666,0.7,1.0,0.75,0.4492753623188406,0.6086956521739131,0.58,0.37209302325581395,0.45901639344262296,0.5666666666666667,0.484375,0.7142857142857143,0.625,0.5789473684210527,0.5,0.5,0.5833333333333334,0.4,0.75,0.42424242424242425,0.7142857142857143,0.45454545454545453,1.0,0.4578313253012048,0.8,0.625,0.7142857142857143,0.5,1.0,0.5652173913043478,1.0,0.35714285714285715,0.5,0.34782608695652173,0.6428571428571429,0.6666666666666666,0.6875,0.3125,0.75,0.3,0.6,0.44680851063829785,0.6666666666666666,0.5178571428571429,0.625,1.0,0.7,0.5,0.625,0.42857142857142855,0.42857142857142855,0.4909090909090909,0.7142857142857143,0.5
0.5882352941176471,0.0,0.4838709677419355,0.0,0.38095238095238093,0.2727272727272727,0.31746031746031744,0.7272727272727273,,,0.1282051282051282,0.696969696969697,0.32142857142857145,0.3333333333333333,0.25,0.0,0.18181818181818182,0.2608695652173913,0.07407407407407407,0.35,0.4444444444444444,0.5714285714285714,0.3333333333333333,0.38461538461538464,0.3333333333333333,0.2619047619047619,0.25,0.23076923076923078,0.25,0.29545454545454547,0.0,0.25,0.0,0.3170731707317073,0.0,0.35,0.0,0.28125,0.0,0.32432432432432434,0.3333333333333333,0.34210526315789475,0.3333333333333333,0.3333333333333333,0.0,0.06666666666666667,0.0,0.2777777777777778,0.0,0.3225806451612903,0.0,0.26666666666666666,0.0,0.32142857142857145,0.0,0.28125,0.25,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.125,0.3225806451612903,0.6666666666666666,0.375,0.33766233766233766,0.2,0.345679012345679,0.16666666666666666,0.36,0.27906976744186046,0.3253012048192771,0.3,0.2647058823529412,0.48,0.0,0.3492063492063492,0.3333333333333333,0.2413793103448276,0.3333333333333333,0.2222222222222222,0.0,0.30434782608695654,0.0,0.23076923076923078,0.0,0.34545454545454546,0.3333333333333333,0.1,0.0,0.125,0.37681159420289856,0.17391304347826086,0.3,0.3488372093023256,0.2786885245901639,0.4,0.328125,0.14285714285714285,0.25,0.2631578947368421,0.3333333333333333,0.25,0.08333333333333333,0.6,0.08333333333333333,0.36363636363636365,0.0,0.3409090909090909,0.0,0.3614457831325301,0.2,0.1875,0.2857142857142857,0.23333333333333334,0.0,0.2608695652173913,0.0,0.39285714285714285,0.3181818181818182,0.391304347826087,0.21428571428571427,0.3333333333333333,0.1875,0.5,0.0,0.5,0.0,0.3829787234042553,0.2222222222222222,0.2857142857142857,0.1875,0.0,0.2,0.3125,0.125,0.3673469387755102,0.2857142857142857,0.36363636363636365,0.21428571428571427,0.3125
